,kyouriki 2 glu 8,kyouriki 3 glu 7,kyouriki 4 glu 6,kyouriki 5 glu 5,kyouriki 6 glu 4,kyouriki 7 glu 3,kyouriki 8 glu 2,kyouriki 9 glu 1
1038.96,0.1099959,0.1110287,9.71E-02,9.56E-02,8.71E-02,7.85E-02,7.51E-02,7.00E-02
1039.17,0.1099886,0.1111007,9.72E-02,9.56E-02,8.71E-02,7.85E-02,7.53E-02,7.01E-02
1039.38,0.1100136,0.1111278,9.71E-02,9.57E-02,8.72E-02,7.85E-02,7.54E-02,7.03E-02
1039.59,0.1099975,0.1110425,9.71E-02,9.58E-02,8.73E-02,7.86E-02,7.54E-02,7.03E-02
1039.8,0.1099286,0.1108836,9.70E-02,9.57E-02,8.72E-02,7.86E-02,7.54E-02,7.02E-02
1040.01,0.1098685,0.1107715,9.69E-02,9.56E-02,8.71E-02,7.84E-02,7.53E-02,7.01E-02
1040.21,0.1098772,0.1107886,9.69E-02,9.57E-02,8.72E-02,7.83E-02,7.52E-02,7.01E-02
1040.42,0.1099442,0.1108615,9.69E-02,9.57E-02,8.73E-02,7.84E-02,7.52E-02,7.01E-02
1040.63,0.1099686,0.1108778,9.71E-02,9.57E-02,8.73E-02,7.85E-02,7.53E-02,7.02E-02
1040.84,0.1099355,0.110886,9.71E-02,9.58E-02,8.73E-02,7.85E-02,7.53E-02,7.02E-02
1041.05,0.109956,0.1109835,9.71E-02,9.58E-02,8.73E-02,7.85E-02,7.54E-02,7.02E-02
1041.26,0.1099939,0.1110903,9.72E-02,9.58E-02,8.73E-02,7.85E-02,7.54E-02,7.02E-02
1041.47,0.1098872,0.1110468,9.71E-02,9.56E-02,8.72E-02,7.84E-02,7.53E-02,7.01E-02
1041.68,0.1096904,0.1109028,9.69E-02,9.54E-02,8.71E-02,7.83E-02,7.51E-02,6.99E-02
1041.89,0.1096104,0.1108474,9.68E-02,9.53E-02,8.71E-02,7.82E-02,7.51E-02,6.99E-02
1042.1,0.1096659,0.1109012,9.69E-02,9.55E-02,8.71E-02,7.83E-02,7.52E-02,6.99E-02
1042.3,0.1097271,0.1109145,9.70E-02,9.55E-02,8.71E-02,7.83E-02,7.53E-02,7.00E-02
1042.51,0.1097456,0.1108295,9.69E-02,9.55E-02,8.71E-02,7.83E-02,7.52E-02,7.00E-02
1042.72,0.1097335,0.1107489,9.70E-02,9.56E-02,8.71E-02,7.82E-02,7.51E-02,6.99E-02
1042.93,0.1097245,0.1107505,9.70E-02,9.56E-02,8.72E-02,7.83E-02,7.51E-02,7.00E-02
1043.14,0.1097389,0.1107911,9.70E-02,9.55E-02,8.72E-02,7.83E-02,7.52E-02,7.00E-02
1043.35,0.1096913,0.1107672,9.69E-02,9.55E-02,8.71E-02,7.83E-02,7.52E-02,7.00E-02
1043.56,0.1095631,0.1106615,9.67E-02,9.53E-02,8.69E-02,7.82E-02,7.50E-02,6.99E-02
